UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,STUFACR,XSTUFACR
170587,R,102,R,271,R,38,R,100,R,1,R,0,R,99,R,59,R,60,R,101,R,0,R,0,R,101,R,47,R,47,15,R
170611,A,,A,,A,,R,36,R,0,R,0,R,36,R,27,R,75,R,20,R,0,R,0,R,20,R,15,R,75,16,R
170620,R,360,R,1247,R,29,R,0,R,0,R,0,R,0,R,0,A,,R,0,R,0,R,0,R,0,R,0,A,,14,R
170639,R,410,R,559,R,73,R,321,R,0,R,0,R,321,R,246,R,77,R,2,R,0,R,0,R,2,R,2,R,100,16,R
170657,R,1142,R,3466,R,33,R,1325,R,0,R,0,R,1325,R,820,R,62,R,876,R,0,R,0,R,876,R,341,R,39,11,R
170675,R,378,R,1576,R,24,R,358,R,0,R,0,R,358,R,289,R,81,R,15,R,0,R,0,R,15,R,8,R,53,11,R
170736,A,,A,,A,,R,12,R,0,R,0,R,12,R,8,R,67,R,23,Z,0,Z,0,R,23,R,18,R,78,20,R
170790,R,1594,R,4545,R,35,R,1458,R,0,R,0,R,1458,R,945,R,65,R,1803,R,0,R,0,R,1803,R,909,R,50,25,R
170806,R,215,R,790,R,27,R,267,R,0,R,0,R,267,R,204,R,76,R,7,R,0,R,0,R,7,R,4,R,57,12,R
170967,R,136,R,358,R,38,R,157,R,0,R,0,R,157,R,103,R,66,R,8,R,0,R,0,R,8,R,0,R,0,12,R
170976,R,6664,R,8128,R,82,R,6815,R,0,R,0,R,6815,R,6629,R,97,R,32,Z,0,Z,0,R,32,R,30,R,94,11,R
171012,A,,A,,A,,R,9,Z,0,Z,0,R,9,R,5,R,56,A,,A,,A,,A,,A,,A,,36,R
171100,R,8500,R,10468,R,81,R,8140,R,0,R,0,R,8140,R,7483,R,92,R,226,R,0,R,0,R,226,R,132,R,58,16,R
171128,R,1245,R,1432,R,87,R,1316,R,1,R,0,R,1315,R,1100,R,84,R,7,R,0,R,0,R,7,R,4,R,57,13,R
171137,R,1059,R,1923,R,55,R,1068,Z,0,Z,0,R,1068,R,835,R,78,R,38,Z,0,Z,0,R,38,R,21,R,55,17,R
171146,R,641,R,2056,R,31,R,656,R,2,R,0,R,654,R,474,R,72,R,32,R,0,R,0,R,32,R,14,R,44,12,R
171155,R,421,R,962,R,44,R,387,R,0,R,0,R,387,R,207,R,53,R,245,R,0,R,0,R,245,R,109,R,44,25,R
171225,R,336,R,1011,R,33,R,311,R,0,R,0,R,311,R,212,R,68,R,243,R,0,R,0,R,243,R,96,R,40,14,R
171234,R,85,R,563,R,15,R,123,R,0,R,0,R,123,R,79,R,64,R,156,R,0,R,0,R,156,R,76,R,49,14,R
171304,R,499,R,1436,R,35,R,543,R,0,R,0,R,543,R,339,R,62,R,299,R,0,R,0,R,299,R,101,R,34,19,R
171395,R,227,R,801,R,28,R,268,R,1,R,0,R,267,R,152,R,57,R,134,R,0,R,0,R,134,R,51,R,38,16,R
171456,R,1611,R,2287,R,70,R,1033,R,1,R,0,R,1032,R,776,R,75,R,7,R,0,R,0,R,7,R,5,R,71,20,R
171483,R,464,R,1020,R,45,R,27,R,0,R,0,R,27,R,25,R,93,R,0,R,0,R,0,R,0,R,0,A,,15,R
171492,R,260,R,892,R,29,R,263,R,1,R,0,R,262,R,207,R,79,R,22,R,0,R,0,R,22,R,8,R,36,10,R
171535,R,892,R,6411,R,14,R,805,R,0,R,0,R,805,R,485,R,60,R,1068,R,0,R,0,R,1068,R,579,R,54,21,R
171571,R,2679,R,4423,R,61,R,2423,R,0,R,0,R,2423,R,1851,R,76,R,33,R,0,R,0,R,33,R,13,R,39,20,R
171599,R,301,R,373,R,81,R,321,R,1,R,0,R,320,R,192,R,60,R,8,R,0,R,0,R,8,R,1,R,13,15,R
171775,A,,A,,A,,R,5,Z,0,Z,0,R,5,R,5,R,100,R,8,Z,0,Z,0,R,8,R,8,R,100,10,R
171881,R,24,R,48,R,50,R,28,R,0,R,0,R,28,R,21,R,75,R,4,R,0,R,0,R,4,R,2,R,50,11,R
171988,A,,A,,A,,R,36,R,0,R,0,R,36,R,30,R,83,A,,A,,A,,A,,A,,A,,21,R
171997,A,,A,,A,,R,55,R,0,R,0,R,55,R,45,R,82,A,,A,,A,,A,,A,,A,,20,R
172015,A,,A,,A,,R,72,R,0,R,0,R,72,R,58,R,81,A,,A,,A,,A,,A,,A,,12,R
172033,R,3,R,113,R,3,R,3,R,0,R,0,R,3,R,2,R,67,R,0,R,0,R,0,R,0,R,0,A,,8,R
